english,hinglish,hinglish_dev,pred_hinglish_dev,pred_hinglish
"india's batting was like a 'rang de basanti' movie, everyone performed well but everyone died in the end. . . .
","indian ki batting 'rang de basanti' movie ki tarah thi ,  sabne accha perform kiya par end me sab mar gaye .  .  .  . ","इंडियन की बैटिंग 'रंग दे बसंती' मूवी की तरह थी ,  सबने अच्छ परफॉर्म किया पर एंड मे सब मार गये .  .  .  ।","इंडिया की बैटिंग एक'रंग दे बसंती'मूवी की तरह थी, सभी ने अच्छा प्रदर्शन किया लेकिन अंत में सभी मर गए...","india key batting ack'rung dei basanti'movie key tarah thee, sabhi nay achcha pradarshan kiya lekin ant main sabhi mer gaye..."
@witchybitchygal haha. then it will turn.,@witchybitchygal Haha. Phir to woh Gul hi ho jayega,@विचीबिचीगल हाहा. फिर तो वोह गुल ही हो जाएगा,@witchybitchygal हाहा..................................................................................................................................................................................................,@witchybitchygal haha..................................................................................................................................................................................................
"@someUSER haha ! ! well keep going , my hubby gave up on ash wed in '96 and has never looked back . ","@someUSER haha ! ! well keep going , my hubby gave up on ash wed in '96 &amp; has never looked back . ","@सोम्यूजर हाहा ! ! वेल कीप गोइंग , माई हबी गेव उप ओन अश वेद इन '९६ &एएमपी; हास नेवर लुक्ड बैक ।","@someUSER हाहा! वेल कीप गोइंग, माय हब्बी गिव अप ओन एश वेड इन'96 एंड व्हेन नेवर लुक बैक.","@someuser haha! well keep going, maya hubby give up one aish wade inn'96 end when never look back."
"She: wht is the moon hiding in the clouds?
He: don't irritate me. let me sleep.
#HeSheStories","She: Baadlon mein chhup raha hai chaand kyu?
He: Dimaag mat kha sone de.
#HeSheStories","शे: बादलों में छुप रहा है चांद क्यू?
हे: दिमाग मत खा सोने दे.
#हेशेस्टोरीज",शीः बादलों में छुप रहा चाँद क्या है? हेः मुझे परेशान मत करो. मुझे सोने दो. #HeSheStories,shih baadlon main chhup rahaa chanda kya hai? heh mujhe pareshan mutt karo. mujhe sone doe. #heshestories
@KajuBadamChor this isn't sweet or sour. we speak kampat.,@KajuBadamChor khatti meethi nahi hai yeh. Hum log kampat bolte the,@काजूबदमचोर खट्टी मीठी नही है येह. हम लोग कम्पट बोलते थे,@KajuBadamChor ये मीठा या खट्टा नहीं है. हम कम्पत बोलते हैं।,@kajubadamchor yeye meetha yaa khatta nahin hai. humm kampat bolate hain.
"Guddu's pillows are smiling, just like guddu! ","guddu k pillow b smile kr re ,  guddu ki tarah !  ! ","गुड्डू के पिलो बी स्माइल केआर रे ,  गुड्डू की तरह !  !","गुड्डू के तकिए मुस्कुरा रहे हैं, गुड्डू की तरह!","guddu key takiye muskura rahe hain, guddu key tarah!"
"the poor udhbilao brought us chips and we beat him, don't beat the one who brings food.","bichara udhbilao chips laya tha usse bel diya ,  khana lane wale ko kbhi nhi marte :p","बिचारा उधबिलाओ चिप्स लाया था उस्से बेल दिया ,  खाना लाने वाले को कभी नही मारते :प","गरीब उधबिलाव हमारे लिए चिप्स लाया और हम उसे पीटते हैं, खाना लाने वाले को मत मारो।","garib udhbilaav hamare lie chips laya our humm use peetate hain, khana laane vaale coo mutt maaro."
@Rofl_Delhite mi has cheated a lot,@Rofl_Delhite MI ne bahut chitting kiya hai,@रोफल_डेलहाइट मी ने बहुत चिटिंग किया है,@Rofl_Delhite मैने बहुत धोखा दिया है,@rofl_delhite maine bahut dhokha diya hai
"jaijinendra, 07412-235423 dt is closed from 28-2-2016 please open it , he is very upset no -9406636779 thanks #RaviShankarPrasad ","Jaijinendra , 07412-235423 DT 28-2-2016 se band hai Pl chalu karva deve him bahut pareshan hai No "" 9406636779 Thanks #RaviShankarPrasad","जयजिनेन्द्र , ०७४१२-२३५४२३ दत २८-२-२०१६ से बंद है पीएल चालू करवा देवे हिम बहुत परेशन है नो "" ९४०६६३६७७९ थैंक्स #रविशंकरप्रसाद","जयजिनेन्द्र, 07412-235423 dt इस क्लोज्ड फ्रॉम 28-2-2016 प्लीज ओपन इट, हे इस वेरी अपसेट नो-94066367779 थैंक यू #RaviShankarPrasad","jayajinendra, 07412-235423 dt iss closed from 28-2-2016 please open eat, hey iss very upset now-94066367779 thank you #ravishankarprasad"
i totally agree with the post .teachers have no right to spoil students career now . ,i totaly agree with the post  .  .  teachers have no right to spoil students carrer now  .  .  .  .,आई टोटली एग्री विथ थे पोस्ट  .  .  टीचर्स हेव नो राइट तो स्पॉइल स्टूडेंट्स कैरर नौ  .  .  .  ।,मैं पूरी तरह से पोस्ट से सहमत हूं. शिक्षकों को अब छात्रों का करियर खराब करने का कोई अधिकार नहीं है।,main poori tarah say post say sahmat hoon. shikshakon coo ab chhatron kaa carrier kharab karane kaa koi adhikaar nahin hai.
@SritikaDhar this doesn't make sense,@SritikaDhar ye sense nahi bana,@श्रीतिकाधार ये सेंस नही बना,@SritikaDhar इसका कोई मतलब नहीं है,@sritikadhar iska koi matlab nahin hai
@i_fattimaayyy  i’m lost in your love after seeing your display picture. other countrymen are watching match.,".@i_fattimaayyy main toh tumhare pyaar mein gum hogaya hu DP dekh kar, baaki deshwale match dekh rahe hai.",".@आई_फत्तीमाय्य मैं तोह तुम्हारे प्यार में गुम होगया हू डीपी देख कर, बाकी देशवाले मैच देख रहे है।",@i_fattimaayyy आई एम लॉस्ट इन योर लव आफ्टर व्हाट योर डिस्प्ले पिक्चर. अन्य देशवासी मैच देख रहे हैं।,@i_fattimaayyy aayi aim lost inn yore love after what yore display picture. any deshwasi match dekh rahe hain.
wide brick is used only for displaying. .,wide wali eent to sirf deekhane ke liye hoti thi .  .,वाइड वाली ईंट तो सिर्फ दीखने के लिए होती थी .  ।,चौड़ी ईंट का उपयोग केवल प्रदर्शित करने के लिए किया जाता है।,chaudi int kaa upayog kewal pradarshit karane key lie kiya jaataa hai.
@UrbanZameendar govinda's doppleganger too.,@UrbanZameendar Govinda ka humshakal bhi,@उर्बनज़मींदर गोविंदा का हमशकल भी,@UrbanZameendar गोविंदा का डॉपलगैंगर भी।,@urbanzameendar govinda kaa doppelganger bhi.
Find this cute puppy a home? there is no money for (my/our)  own rent.,Find this cute puppy a home? yahan khud ke kiraaye ke paise nahi hai.,फाइंड थिस क्यूट पप्पी आ होम? यहां खुद के किराए के पैसे नही है।,इस क्यूट पप्पी को घर में ढूँढें? (मेरे/हमारे) अपने किराए के लिए पैसे नहीं हैं।,iss cute puppy coo ghar main dhoondhen? (mere/hamare) apane kiraaye key lie paise nahin hain.
shame on idiot advertisment,idiot advertisment shame on .  .,इडियट एडवर्टिजमेंट शेम ओन .  ।,बेवकूफ विज्ञापन पर शर्म करो,bevakoof vigyaapan per sherm karo
"retweet @ashutosh83B : murderous assault on AAP MLA , kartar singh tanwar . chhatarpur . driver is injured . attackers were carrying pistol . Kartar i","RT @ashutosh83B : Murderous assault on AAP MLA , Kartar Singh Tanwar . Chhatarpur . Driver is injured . Attackers were carrying pistol . Kartar i","आरटी @आशुतोष८३बी : मर्डर असॉल्ट ओन आप मला , करतार सिंह तंवर . छतरपुर . ड्राइवर इस इंजर्ड . अटैकर्स वेरे कैरिंग पिस्तोल . करतार आई","रीट्वीट @ashutosh83B: ए. ए. पी. एम. एल. ए., कतर सिंह तंवर. छतरपुर. ड्राइवर घायल है. हमलावर पिस्तौल ले जा रहे थे. कतर आई","retweet @ashutosh83b: aye. aye. pie. aim. ail. aye., cutter singh tanwar. chhatarpur. driver ghayal hai. hamlawar pistol lay jaa rahe they. cutter aayi"
"#WhereIsRahul is trending No 1 on twitter worldwide . come on rahul, at least come now. people from 191 regions are looking for you.",#WhereIsRahul is trending No 1 on twitter worldwide . Common Rahul ab toh aa zao . Tumhe 191 mulko ke log dhoondh rahe hain,#व्हेरेइसराहुल इस ट्रेंडिंग नो १ ओन ट्विटर वर्ल्डवाइड . कॉमन राहुल अब तोह आ ज़ाओ . तुम्हे १९१ मुल्को के लोग ढूंढ रहे हैं,"#WhereIsRahul ट्विटर पर दुनिया भर में नंबर 1 ट्रेंड कर रहा है. राहुल पर आओ, कम से कम अभी तो आओ. 191 रीजन के लोग आपको ढूंढ रहे हैं।","#whereisrahul twitter per duniya bhar main number 1 trend cur rahaa hai. rahul per aao, cum say cum abhi too aao. 191 reason key log aapko dhoondh rahe hain."
retweet @zoomphatak : shakira- hello is subramanium swami there? servant- he went to africa shakira- swami we did not get swami wakka wakka he he,RT @zoomphatak : Shakira- hello .. Subramanium Swami hai ? Servant- saab Africa gaye hai Shakira- Swami na mila .. e e e .. waka waka .. e e e .. he '''',आरटी @ज़ूमफटक : शकीरा- हेलो .. सुब्रमण्यम स्वामी है ? सर्वेंट- साब अफ्रीका गये है शकीरा- स्वामी ना मिला .. ई ई ई .. वाका वाका .. ई ई ई .. हे '''',रीट्वीट @zoomphatak: शकीरा-हैलो सबरामेनियम स्वामी है? सेवक-वह अफ्रीका गया शकीरा-स्वामी हमें स्वामी वक्का वक्का नहीं मिला,retweet @zoomphatak: shakira-hallow subramanium swami hai? sevak-wah africa gaya shakira-swami hamein swami vakka vakka nahin milaa
"you are keep talking about money, why money matters to you so much?
 
 #NitishLaluSting picture : twitter.com/QnJc0Hw4G7","Tu paisa paisa karti hai.. Kyu paise pe tu marti hai
 
 #NitishLaluStingpic.twitter.com/QnJc0Hw4G7","टू पैसा पैसा करती है.. क्यू पैसे पे टू मारती है
 
 #निटिशलालस्टिंगपिक.ट्विटर.कॉम/क्यूएनजेसी०ह्व४जी७","आप पैसों की बात करते रहते हैं, आपके लिए पैसों की इतनी अहमियत क्यों है? #NitishLaluSting पिकचरः twitter.com/QnJc0Hw4G7","aap passes key baat karate rehte hain, aapke lie passes key itani ahamiyat kyon hai? #nitishlalusting picture twitter.com/qnjc0hw4g7"
@RoflGandhi_ waitiing for them is also waste!,@RoflGandhi_ unka intezar karna bhi bekar hai bhai!,@रोफलगांधी_ उनका इंतजार करना भी बेकर है भाई!,@RoflGandhi_ उनके लिए इंतजार करना भी बेकार है!,@roflgandhi_ unake lie intezar karna bhi bekaar hai!
@LoKarloUnfollow We won't let you go.,@LoKarloUnfollow jaane nahi denge tujhe.....,@लोकार्लोउनफोलो जाने नही देंगे तुझे.....,@LoKarloUnfollow हम आपको जाने नहीं देंगे।,@lokarlounfollow humm aapko jaane nahin denge.
"Intolerance hasn't increased, hunger for attention has increased.","Intolerance nahi badha hai, attention paane ki hawas badhi hai.","इंटॉलरेंस नही बढ़ा है, अटेंशन पाने की हवास बढ़ी है।","असहिष्णुता नहीं बढ़ी है, ध्यान की भूख बढ़ी है।","asahishnuta nahin badhee hai, dhyan key bhookh badhee hai."
@Atheist_Krishna they are all fools pic.twitter.com/exQh4VPAen,@Atheist_Krishna woh sab Ooooollluuu k phatte haipic.twitter.com/exQh4VPAen,@एथीस्ट_कृष्ण वोह सब ऊओउल्लू के फट्टे हैपिक.ट्विटर.कॉम/एक्सक४वीपीएन,@Atheist_Krishna वे सब मूर्ख हैं pic.twitter.com/exQh4VPAen,@atheist_krishna way sub moorkh hain pic.twitter.com/exqh4vpaen
"@krazyfrog ""all players come for playing, only one for winning""","@krazyfrog ""khelne ke liye toh sabhi khiladi aate hain, jeetne ke liye ek""","@क्रेजीफ्रॉग ""खेलने के लिए तोह सभी खिलाडी आते हैं, जीतने के लिए एक""","@krazyfrog ""सभी खिलाड़ी खेलने के लिए आते हैं, जीतने के लिए केवल एक""","@krazyfrog ""sabhi khiladi khelane key lie aate hain, jeetane key lie kewal ack"""
@Indiantweeter @Paytm what did they do now,@indiantweeter @Paytm kya kiya inhone ab,@इंडियंटवीटर @पेटीएम क्या किया इन्होने अब,@Indiantweeter @Paytm अब क्या किया,@indiantweeter @paytm ab kya kiya
),@clued_up_chic mind ganda hona chahiye.. Saaf to tijori bhi hoti hai ,@क्लूड_उप_चिक माइंड गंदा होना चाहिए.. साफ तो तिजोरी भी होती है,).......................................................................................................................................................................................................,).......................................................................................................................................................................................................
did you got that girl? https://twitter.com/UberFacts/status/634780090237341696,Item set hui ki nahi?https://twitter.com/UberFacts/status/634780090237341696 …,इतेम सेट हुई की नही?एचटीटीपीएस://ट्विटर.कॉम/अबरफैक्ट्स/स्टेटस/६३४७८००९०२३७३४१६९६ …,क्या आपको वह लड़की मिली? https://twitter.com/UberFacts/status/634780090237341696,kya aapko wah ladki milli? https://twitter.com/uberfacts/status/634780090237341696
you can’t blame me. i’m already married.,u cant blame me.. meri shaadi ho gayee,उ कैंट ब्लेम मे.. मेरी शादी हो गयी,तुम मुझे दोष नहीं दे सकते. मैं पहले से ही शादीशुदा हूँ।,tum mujhe dosh nahin dei sakate. main pehle say hee shadishuda hoon.
),duniya gayi tel lene .  .  apne khaane peene mein busy ,दुनिया गयी टेल लेने .  .  अपने खाने पीने में बसी,).......................................................................................................................................................................................................,).......................................................................................................................................................................................................
even shikhar dhawan scored a 50 . if you guys still don't win then come back by tomorrow.,Shikhar Dhawan ne bhi 50 run jod diye. Ab bhi nahi jeete to kal tak wapas aa jana.,शिखर धवन ने भी ५० रन जोड़ दिये. अब भी नही जीते तो कल तक वापस आ जाना।,शिखर धवन ने भी 50 रन बनाए. अगर आप लोग अभी भी नहीं जीतते हैं तो कल तक वापस आ जाएं।,shikhar dhawan nay bhi 50 rann banaae. agar aap log abhi bhi nahin jeetate hain too call tuck vaapas aa jaaen.
"And then I gave proof too, now see my ration card! ",aur phir proof bhi deta.. dekho Mehr ka ration card..,और फिर प्रूफ भी देता.. देखो मेहर का रेशन कार्ड..,"और फिर मैंने भी सबूत दिया, अब मेरा राशन कार्ड देखो!","our fir maine bhi saboot diya, ab meraa raashan card dekho!"
"@The_Lie_Lama As in the Tiger has not run away, it is tired?","@The_Lie_Lama As in abhi Tiger baaghi nahi, woh thak gayi hai?","@थे_लिए_लामा एएस इन अभी टाइगर बाघी नही, वोह थक गयी है?","@The_Lie_Lama अस इन द टाइगर हैव नॉट रन अवे, इट इस थक?","@the_lie_lama ass inn dada tiger have nott rann away, eat iss thak?"
"idiot, salman you are a muslim. why do you show this kind of fashion.",Idoit...salman aap muslim hai...Aisa faission show kyon karwaya..allah likkar,इदोइत...सलमान आप मुस्लिम है...एआईएसए फैशन शो क्यों करवाया..अल्ला लिक्कर,"इडियट, सलमान तुम मुसलमान हो. तुम इस तरह का फैशन क्यों दिखाते हो।","idiot, salman tum musalman how. tum iss tarah kaa fashion kyon dikhaate how."
@Champ_Nikk i have drunk some liquor.,@Champ_Nikk thodi si jo pee li hai,@चैंप_निक्क थोड़ी सी जो पी ली है,@Champ_Nikk मैंने शराब पी ली है।,@champ_nikk maine sharab pie lie hai.
anything can happen ,kuch bhi ho sakta hai :),कुच भी हो सकता है :),कुछ भी हो सकता है,kuchha bhi how sakta hai
bangladeshis are still taking revenge fof that run out from me.https://twitter.com/Realbangladeshi/status/806715786991648770 …,Aaj tak ye Bangladeshi uss run out ka badl le raha hai mujhse.https://twitter.com/Realbangladeshi/status/806715786991648770 …,आज तक ये बांग्लादेशी यूएस रन आउट का बदल ले रहा है मुझसे.एचटीटीपीएस://ट्विटर.कॉम/रियलबांग्लादेशी/स्टेटस/८०६७१५७८६९९१६४८७७० …,me.https:// ट्विटर. कॉम/रियलबंग्लादेशी/स्टेटस/806715786991648770..........................................................................................................................................................................,me.https:// twitter. come/realbangladeshi/status/806715786991648770..........................................................................................................................................................................
@Indian_Azzurri will beat you hard. rashi also,@Indian_Azzurri Bahut maroonga. Rashi bhi,@इंडियन_अज्जुर्री बहुत मरूंगा. राशी भी,@Indian_Azzurri आपको बुरी तरह हरा देगा. राशी भी,@indian_azzurri aapko buri tarah haraa dega. raashi bhi
"got the name by beating others, got trapped because of others'","Doosro ka maar ke bana thaa, doosro ka maarne ke chakkar me phasa....","दूसरों का मार के बना था, दूसरों का मारने के चक्कर मे फसा....","दूसरों को पीट कर नाम मिला, दूसरों की वजह से फंस गया '","dusaron coo peat cur naam milaa, dusaron key vajah say phans gaya '"
@raviishndtv or modiji do this type of work better ...,@raviishndtv or modiji ye kaam acche se kr lete h ...,@रविष्णदत्व ओर मोदीजी ये काम अच्छे से केआर लेते ह ...,@raviishndtv या मोदी जी इस तरह का काम बेहतर करें...,@raviishndtv yaa modi jee iss tarah kaa kaam behtar karein...
"first 24 hours in london: was given a free rail card, saw 3 squirrels going to work ,may have found a home and there's big alan rickman posters","first 24 hours in london got given a free rail card ,saw 3 squirrels going to work ,may have found a home &amp; there's big alan rickman posters","फर्स्ट २४ हॉर्स इन लंडन गोट गिवेन आ फ्री रेल कार्ड ,साव ३ स्क्विरल्स गोइंग तो वर्क ,मे हेव फाउंड आ होम &एएमपी; थेरे'एस बिग अलान रिकमैन पोस्टर्स","लंदन में पहले 24 घंटेः एक मुफ्त रेल कार्ड दिया गया था, 3 गिलहरियों को काम पर जाते देखा, हो सकता है एक घर मिल गया हो और वहाँ बड़ा एलान रिकमैन पोस्टर है","landan main pehle 24 ghanteh ack muft rail card diya gaya tha, 3 gilhariyon coo kaam per jaate dekhaa, how sakta hai ack ghar mill gaya how our vahan badha elan rickman poster hai"
first become something children Kashmir issue can also be solved without you #DU #JNU #antinationals #AzadiBrigade,"pehle kuch banke dikhavo bacchon "" Kashmir issue tho tumhare bina bhi solve ho jayega #DU #JNU #antinationals #AzadiBrigade","पहले कुच बांके दिखावो बच्चों "" कश्मीर इश्यू थो तुम्हारे बिना भी सॉल्व हो जाएगा #डू #जेएनयू #एंटीनेशनल्स #अजाडिब्रिगेड",पहले कुछ बन जाओ बच्चे कश्मीर मुद्दा भी बिना तेरे सुलझा लिया जा सकता है #DU #JNU #antinationals #AzadiBrigade,pehle kuchha bunn jaao bachche kashmir mudda bhi binaa there sulajha lia jaa sakta hai #du #jnu #antinationals #azadibrigade
you are nothing without us #salman.. you are a blur in the name of pathan,Hmare bina tera koi wajood nhi #salman ...sale pathano k nam p kalank h tu,हमारे बिना तेरा कोई वजूद नही #सलमान ...साले पठानों के नाम प कलंक ह टू,आप हमारे बिना कुछ भी नहीं हैं #salman. आप पठान के नाम पर एक ब्लर हैं,aap hamare binaa kuchha bhi nahin hain #salman. aap pathan key naam per ack blur hain
"@SonalSalamanandak: sa this time india for the day. opportunity. it took a chowk and took the opportunity #indwassa""",""" @sonalSalmanK : SA this time India didn't waste opportunity . Chauka bhi laga aur mauka bhi le kiya #IndvsSA """,""" @सोनलसलमांक : सा थिस टाइम इंडिया दिदन'टी वास्ते अपॉर्च्युनिटी . चौका भी लगा और मौका भी ले किया #इंडवासा ""","@SonalSalamanandak: एसए दिस टाइम इंडिया फॉर द डे. ऑपर्चुनिटी. इट टेक अ चौक एंड टेक द ऑपर्चुनिटी #indwassa ""","@sonalsalamanandak: sa dish time india forr dada day. opportunity. eat take aa chowk end take dada opportunity #indwassa """
"@Humor_Donor no friend, how come?","@Humor_Donor nahin yaar, aise kaise? :D","@ह्यूमर_डोनर नहीं यार, एआईएसई कैसे? :डी","@Humor_Donor कोई दोस्त नहीं, कैसे?","@humor_donor koi dost nahin, kaise?"
ghost rider 2's a bad movie compared to the 1st .,ghost rider 2's a bad movie compared to the 1st .,घोस्ट राइडर २'एस आ बाद मूवी कंपेयर्ड तो थे १एसटी ।,1 की तुलना में घोस्ट राइडर 2 की एक बुरी फिल्म है।,1 key tulanaa main ghost rider 2 key ack buri film hai.
@rootofall3vil @BCCI carful with falling in love with someone,@rootofall3vil @BCCI dekho kahin pyaar na ho jaye,@रूटोफॉल३विल @बीसीसीआई देखो कहीं प्यार ना हो जाए,@rootofall3vil @BCCI किसी के साथ प्यार में पड़ने के साथ कारफुल,@rootofall3vil @bcci kissy key saath pyaar main padane key saath karful
"i might go to pierce the veil at northern lights (sold out) in albany ,  new york - 31 october","i might go to pierce the veil at northern lights (sold out) in albany ,  ny - oct 31 http/URL","आई माइट गो तो पियर्स थे वेल एट नॉर्दर्न लाइट्स (सोल्ड आउट) इन अल्बानी ,  नी - ओसीटी ३१ एचटीटीपी/उर्ल","आई मेडी गो टू पीयर्स द वेइल एट नॉर्दर्न लाइट्स (सोल्ड आउट) इन अल्बनी, न्यूयॉर्क-31 अक्टूबर","aayi meddy goo too peers dada wail ait northern lights (sold out) inn albany, newyork-31 octuber"
"whom friend, what friend, you are a devil, you only come on eid, to remove everyone's faith","Kiska bhaijan kahan ka Bhai jaan Kutte tu ek nambar shetan,,,, Eed me hi aata he,, kharab karne imman,,,","किसका भाईजान कहन का भाई जान कुत्ते टू एक नंबर शेतान,,,, ईड मे ही आता हे,, खराब करने इमान,,,","किसका दोस्त, क्या दोस्त, आप डेविल हैं, आप सिर्फ ईद पर आते हैं, हर किसी का विश्वास हटाने के लिए","kiska dost, kya dost, aap deville hain, aap sirf eed per aate hain, hear kissy kaa vishvaas hataane key lie"
"relatives to me - son, are you human or #ManmohanSingh? you never speak anything.",Relatives to me - beta insaan ho ya #ManmohanSingh kabhi kuch bolte hi nahi,रिलेटिव्स तो मे - बेटा इंसान हो या #मनमोहनसिंह कभी कुच बोलते ही नही,"मेरे रिश्तेदार-बेटा, क्या तुम इंसान हो या #ManmohanSingh? तुम कभी कुछ नहीं बोलते।","mere rishtedaar-beta, kya tum insaan how yaa #manmohansingh? tum kabhi kuchha nahin bolate."
if i would have been near then i would have ordered myself,nazdeek kahin hota to khud mangwa leta!,नजदीक कहीं होता तो खुद मंगवा लेता!,अगर मैं पास होता तो मैंने खुद ऑर्डर किया होता,agar main paas hota too maine khud order kiya hota
"""is Sue there?"" - Aamir Khan in Rang de Basanti","""Sue ji hain kya?"" - Aamir Khan in Rang de Basanti","""सुए जी हैं क्या?"" - आमिर खान इन रंग दे बसंती","""सू है?""-आमिर खान इन रंग दे बसंती","""sue hai?""-aamir khaan inn rung dei basanti"
which muslim loves this country @masala_chaas @yogi_adityanath @Support,to muslim kaun ka iss desh se pyaar karte hai @masala_chaas @yogi_adityanath @Support,तो मुस्लिम कौन का आईएस देश से प्यार करते है @मसाला_चास @योगी_आदित्यनाथ @सपोर्ट,कौन सा मुसलमान इस देश से प्यार करता है @masala_chaas @yogi_adityanath @Support,coun sha musalman iss desh say pyaar karta hai @masala_chaas @yogi_adityanath @support
do you want to become like the neighbourer?,Kyu pados wali aunty banna hai?,क्यू पड़ोस वाली आंटी बन्ना है?,क्या आप पड़ोसी की तरह बनना चाहते हैं?,kya aap padosi key tarah banana chahte hain?
"here i am procrastinating at my work desk reading iit bombay confessions ,  as usual. oh wait , didn't even go to iit bombay !  - thank you for your entertainment  !  ","here i am procrastinating at my work desk reading iibt confessions  ,  as usual  .  .  .  oh wait  .  .  .  i didn't even go to iitb  !  - thank you for your entertainment  !  ! ","हेरे आई एएम प्रोक्रास्टिनेटिंग एट माई वर्क डेस्क रीडिंग आईआईबीटी कन्फेशंस  ,  एएस यूजुअल  .  .  .  ओह वैट  .  .  .  आई दिदन'टी इवेन गो तो आईआईटीबी  !  - थैंक यू फोर यूर एंटरटेनमेंट  !  !","ये आई एम प्रोक्रास्टिनेटिंग एट माय वर्क डेस्क रीडिंग आईट बॉम्बे कन्फेशन, हमेशा की तरह. ओह रुको, आईट बॉम्बे तक भी नहीं गया!-थैंक यू फॉर योर एंटरटेनमेंट!","yeye aayi aim procrastinating ait maya work desk reading ite bombe confession, hamesha key tarah. oh ruko, ite bombe tuck bhi nahin gaya!-thank you forr yore entertainment!"
"@nainkatary i like half of the face, of course.","@nainkatary aadhi shakal toh pasand hai mujhe, bilkul.","@नैंकटरी आधी शकल तोह पसंद है मुझे, बिल्कुल।",@nainkatary मुझे आधा चेहरा पसंद है।,@nainkatary mujhe aadhaa chehra pasand hai.
"i can see god in you, what should I do! pic.twitter.com/sTI3w1I7Ry","Tujh mein rab dikhta hai, yaara main kya karoonpic.twitter.com/sTI3w1I7Ry","तुझ में रब दिखता है, यारा मैं क्या करूनपिक.ट्विटर.कॉम/स्टी३डब्लू१आई७राय","मैं तुम में भगवान देख सकता हूँ, क्या करूँ! pic.twitter.com/sTI3w1I7Ry","main tum main bhagwan dekh sakta hoon, kya karuun! pic.twitter.com/sti3w1i7ry"
