english,hinglish,hinglish_dev,pred_hinglish_dev,pred_hinglish
"#WhereIsRahul is trending No 1 on twitter worldwide . come on rahul, at least come now. people from 191 regions are looking for you.",#WhereIsRahul is trending No 1 on twitter worldwide . Common Rahul ab toh aa zao . Tumhe 191 mulko ke log dhoondh rahe hain,#व्हेरेइसराहुल इस ट्रेंडिंग नो १ ओन ट्विटर वर्ल्डवाइड . कॉमन राहुल अब तोह आ ज़ाओ . तुम्हे १९१ मुल्को के लोग ढूंढ रहे हैं,"#WhereIsRahul दुनिया भर में ट्विटर पर नंबर 1 पर ट्रेंड कर रहा है. राहुल पर आओ, कम से कम अभी आओ. 191 क्षेत्रों के लोग आपको ढूंढ रहे हैं।","#whereisrahul duniya bhar main twitter per number 1 per trend cur rahaa hai. rahul per aao, cum say cum abhi aao. 191 kshetron key log aapko dhoondh rahe hain."
retweet @zoomphatak : shakira- hello is subramanium swami there? servant- he went to africa shakira- swami we did not get swami wakka wakka he he,RT @zoomphatak : Shakira- hello .. Subramanium Swami hai ? Servant- saab Africa gaye hai Shakira- Swami na mila .. e e e .. waka waka .. e e e .. he '''',आरटी @ज़ूमफटक : शकीरा- हेलो .. सुब्रमण्यम स्वामी है ? सर्वेंट- साब अफ्रीका गये है शकीरा- स्वामी ना मिला .. ई ई ई .. वाका वाका .. ई ई ई .. हे '''',रीट्वीट @zoomphatak: शकीरा-हैलो क्या सुब्रमनियम स्वामी वहाँ है? सेवक-वह अफ्रीका गया शकीरा-स्वामी हमें स्वामी वक्का वक्का नहीं मिला वह,retweet @zoomphatak: shakira-hallow kya subramanium swami vahan hai? sevak-wah africa gaya shakira-swami hamein swami vakka vakka nahin milaa wah
"you are keep talking about money, why money matters to you so much?
 
 #NitishLaluSting picture : twitter.com/QnJc0Hw4G7","Tu paisa paisa karti hai.. Kyu paise pe tu marti hai
 
 #NitishLaluStingpic.twitter.com/QnJc0Hw4G7","टू पैसा पैसा करती है.. क्यू पैसे पे टू मारती है
 
 #निटिशलालस्टिंगपिक.ट्विटर.कॉम/क्यूएनजेसी०ह्व४जी७","आप पैसे के बारे में बात करते रहते हैं, आपके लिए पैसा इतना महत्वपूर्ण क्यों है? #NitishLaluSting चित्रः twitter.com/QnJc0Hw4G7","aap paise key baare main baat karate rehte hain, aapke lie paisa itna mahatvapurna kyon hai? #nitishlalusting chitrah twitter.com/qnjc0hw4g7"
@RoflGandhi_ waitiing for them is also waste!,@RoflGandhi_ unka intezar karna bhi bekar hai bhai!,@रोफलगांधी_ उनका इंतजार करना भी बेकर है भाई!,@RoflGandhi_ उनके लिए प्रतीक्षा करना भी व्यर्थ है!,@roflgandhi_ unake lie prateeksha karna bhi vyarth hai!
@LoKarloUnfollow We won't let you go.,@LoKarloUnfollow jaane nahi denge tujhe.....,@लोकार्लोउनफोलो जाने नही देंगे तुझे.....,@LoKarloUnfollow हम आपको जाने नहीं देंगे।,@lokarlounfollow humm aapko jaane nahin denge.
"Intolerance hasn't increased, hunger for attention has increased.","Intolerance nahi badha hai, attention paane ki hawas badhi hai.","इंटॉलरेंस नही बढ़ा है, अटेंशन पाने की हवास बढ़ी है।","असहिष्णुता नहीं बढ़ी है, ध्यान देने की भूख बढ़ी है।","asahishnuta nahin badhee hai, dhyan dene key bhookh badhee hai."
@Atheist_Krishna they are all fools pic.twitter.com/exQh4VPAen,@Atheist_Krishna woh sab Ooooollluuu k phatte haipic.twitter.com/exQh4VPAen,@एथीस्ट_कृष्ण वोह सब ऊओउल्लू के फट्टे हैपिक.ट्विटर.कॉम/एक्सक४वीपीएन,@Atheist_Krishna वे सभी मूर्ख हैं pic.twitter.com/exQh4VPAen,@atheist_krishna way sabhi moorkh hain pic.twitter.com/exqh4vpaen
"@krazyfrog ""all players come for playing, only one for winning""","@krazyfrog ""khelne ke liye toh sabhi khiladi aate hain, jeetne ke liye ek""","@क्रेजीफ्रॉग ""खेलने के लिए तोह सभी खिलाडी आते हैं, जीतने के लिए एक""","@krazyfrog ""सभी खिलाड़ी खेलने के लिए आते हैं, केवल एक जीतने के लिए""","@krazyfrog ""sabhi khiladi khelane key lie aate hain, kewal ack jeetane key lie"""
@Indiantweeter @Paytm what did they do now,@indiantweeter @Paytm kya kiya inhone ab,@इंडियंटवीटर @पेटीएम क्या किया इन्होने अब,@Indiantweeter @Paytm उन्होंने अब क्या किया?,@indiantweeter @paytm unhone ab kya kiya?
),@clued_up_chic mind ganda hona chahiye.. Saaf to tijori bhi hoti hai ,@क्लूड_उप_चिक माइंड गंदा होना चाहिए.. साफ तो तिजोरी भी होती है,),)
did you got that girl? https://twitter.com/UberFacts/status/634780090237341696,Item set hui ki nahi?https://twitter.com/UberFacts/status/634780090237341696 …,इतेम सेट हुई की नही?एचटीटीपीएस://ट्विटर.कॉम/अबरफैक्ट्स/स्टेटस/६३४७८००९०२३७३४१६९६ …,क्या आपको वह लड़की मिली है? https://twitter.com/UberFacts/status/634780090237341696,kya aapko wah ladki milli hai? https://twitter.com/uberfacts/status/634780090237341696
you can’t blame me. i’m already married.,u cant blame me.. meri shaadi ho gayee,उ कैंट ब्लेम मे.. मेरी शादी हो गयी,तुम मुझे दोष नहीं दे सकते। मैं पहले से ही शादीशुदा हूँ।,tum mujhe dosh nahin dei sakate. main pehle say hee shadishuda hoon.
),duniya gayi tel lene .  .  apne khaane peene mein busy ,दुनिया गयी टेल लेने .  .  अपने खाने पीने में बसी,),)
even shikhar dhawan scored a 50 . if you guys still don't win then come back by tomorrow.,Shikhar Dhawan ne bhi 50 run jod diye. Ab bhi nahi jeete to kal tak wapas aa jana.,शिखर धवन ने भी ५० रन जोड़ दिये. अब भी नही जीते तो कल तक वापस आ जाना।,यहां तक कि शिखर धवन ने भी 50 रन बनाए। अगर आप लोग फिर भी नहीं जीतते हैं तो कल तक वापस आ जाएं।,yahaan tuck kii shikhar dhawan nay bhi 50 rann banaae. agar aap log fir bhi nahin jeetate hain too call tuck vaapas aa jaaen.
"And then I gave proof too, now see my ration card! ",aur phir proof bhi deta.. dekho Mehr ka ration card..,और फिर प्रूफ भी देता.. देखो मेहर का रेशन कार्ड..,"और फिर मैंने सबूत भी दिया, अब मेरा राशन कार्ड देखें!","our fir maine saboot bhi diya, ab meraa raashan card dekhein!"
"@The_Lie_Lama As in the Tiger has not run away, it is tired?","@The_Lie_Lama As in abhi Tiger baaghi nahi, woh thak gayi hai?","@थे_लिए_लामा एएस इन अभी टाइगर बाघी नही, वोह थक गयी है?","@The_Lie_Lama जैसा कि बाघ भाग नहीं गया है, वह थक गया है?","@the_lie_lama jaisa kii bagh bhaag nahin gaya hai, wah thak gaya hai?"
"idiot, salman you are a muslim. why do you show this kind of fashion.",Idoit...salman aap muslim hai...Aisa faission show kyon karwaya..allah likkar,इदोइत...सलमान आप मुस्लिम है...एआईएसए फैशन शो क्यों करवाया..अल्ला लिक्कर,"बेवकूफ, सलमान आप मुसलमान हैं. आप इस तरह का फैशन क्यों दिखाते हैं।","bevakoof, salman aap musalman hain. aap iss tarah kaa fashion kyon dikhaate hain."
@Champ_Nikk i have drunk some liquor.,@Champ_Nikk thodi si jo pee li hai,@चैंप_निक्क थोड़ी सी जो पी ली है,@Champ_Nikk मैंने कुछ शराब पी है।,@champ_nikk maine kuchha sharab pie hai.
anything can happen ,kuch bhi ho sakta hai :),कुच भी हो सकता है :),कुछ भी हो सकता है,kuchha bhi how sakta hai
bangladeshis are still taking revenge fof that run out from me.https://twitter.com/Realbangladeshi/status/806715786991648770 …,Aaj tak ye Bangladeshi uss run out ka badl le raha hai mujhse.https://twitter.com/Realbangladeshi/status/806715786991648770 …,आज तक ये बांग्लादेशी यूएस रन आउट का बदल ले रहा है मुझसे.एचटीटीपीएस://ट्विटर.कॉम/रियलबांग्लादेशी/स्टेटस/८०६७१५७८६९९१६४८७७० …,बांग्लादेशी अभी भी me.https:// Twitter. com/Realbangladeshi/स्थिति/806715786991648770... से समाप्त होने का बदला ले रहे हैं।,bangladeshi abhi bhi me.https:// twitter. com/realbangladeshi/sthiti/806715786991648770... say samaapt honey kaa badla lay rahe hain.
@Indian_Azzurri will beat you hard. rashi also,@Indian_Azzurri Bahut maroonga. Rashi bhi,@इंडियन_अज्जुर्री बहुत मरूंगा. राशी भी,@Indian_Azzurri आपको बुरी तरह हरा देगा. राशि भी,@indian_azzurri aapko buri tarah haraa dega. raashi bhi
"got the name by beating others, got trapped because of others'","Doosro ka maar ke bana thaa, doosro ka maarne ke chakkar me phasa....","दूसरों का मार के बना था, दूसरों का मारने के चक्कर मे फसा....","दूसरों को पीटकर नाम मिला, दूसरों की वजह से फंस गया '","dusaron coo peetkar naam milaa, dusaron key vajah say phans gaya '"
@raviishndtv or modiji do this type of work better ...,@raviishndtv or modiji ye kaam acche se kr lete h ...,@रविष्णदत्व ओर मोदीजी ये काम अच्छे से केआर लेते ह ...,@raviishndtv या मोदी जी इस प्रकार के काम को बेहतर तरीके से करते हैं...,@raviishndtv yaa modi jee iss prakaar key kaam coo behtar tareeke say karate hain...
"first 24 hours in london: was given a free rail card, saw 3 squirrels going to work ,may have found a home and there's big alan rickman posters","first 24 hours in london got given a free rail card ,saw 3 squirrels going to work ,may have found a home &amp; there's big alan rickman posters","फर्स्ट २४ हॉर्स इन लंडन गोट गिवेन आ फ्री रेल कार्ड ,साव ३ स्क्विरल्स गोइंग तो वर्क ,मे हेव फाउंड आ होम &एएमपी; थेरे'एस बिग अलान रिकमैन पोस्टर्स","लंदन में पहले 24 घंटेः एक मुफ्त रेल कार्ड दिया गया था, 3 गिलहरियों को काम पर जाते देखा गया था, एक घर मिल गया होगा और वहाँ बड़े एलान रिकमैन पोस्टर हैं","landan main pehle 24 ghanteh ack muft rail card diya gaya tha, 3 gilhariyon coo kaam per jaate dekhaa gaya tha, ack ghar mill gaya hoga our vahan badey elan rickman poster hain"
first become something children Kashmir issue can also be solved without you #DU #JNU #antinationals #AzadiBrigade,"pehle kuch banke dikhavo bacchon "" Kashmir issue tho tumhare bina bhi solve ho jayega #DU #JNU #antinationals #AzadiBrigade","पहले कुच बांके दिखावो बच्चों "" कश्मीर इश्यू थो तुम्हारे बिना भी सॉल्व हो जाएगा #डू #जेएनयू #एंटीनेशनल्स #अजाडिब्रिगेड",पहले कुछ बच्चे बनें कश्मीर मुद्दा भी आपके बिना हल किया जा सकता है #DU #JNU #antinationals #AzadiBrigade,pehle kuchha bachche banein kashmir mudda bhi aapke binaa hall kiya jaa sakta hai #du #jnu #antinationals #azadibrigade
you are nothing without us #salman.. you are a blur in the name of pathan,Hmare bina tera koi wajood nhi #salman ...sale pathano k nam p kalank h tu,हमारे बिना तेरा कोई वजूद नही #सलमान ...साले पठानों के नाम प कलंक ह टू,आप हमारे बिना कुछ भी नहीं हैं #salman.. आप पठान के नाम पर एक धुंधलेपन हैं,aap hamare binaa kuchha bhi nahin hain #salman.. aap pathan key naam per ack dhundhalepan hain
"@SonalSalamanandak: sa this time india for the day. opportunity. it took a chowk and took the opportunity #indwassa""",""" @sonalSalmanK : SA this time India didn't waste opportunity . Chauka bhi laga aur mauka bhi le kiya #IndvsSA """,""" @सोनलसलमांक : सा थिस टाइम इंडिया दिदन'टी वास्ते अपॉर्च्युनिटी . चौका भी लगा और मौका भी ले किया #इंडवासा ""","@SonalSalamanandak: इस बार दिन के लिए भारत. अवसर. इसने एक चौक लिया और अवसर #indwassa लिया ""","@sonalsalamanandak: iss baar dinn key lie bharat. avsar. isane ack chowk lia our avsar #indwassa lia """
"@Humor_Donor no friend, how come?","@Humor_Donor nahin yaar, aise kaise? :D","@ह्यूमर_डोनर नहीं यार, एआईएसई कैसे? :डी","@Humor_Donor कोई दोस्त नहीं, कैसे?","@humor_donor koi dost nahin, kaise?"
ghost rider 2's a bad movie compared to the 1st .,ghost rider 2's a bad movie compared to the 1st .,घोस्ट राइडर २'एस आ बाद मूवी कंपेयर्ड तो थे १एसटी ।,घोस्ट राइडर 2 पहली की तुलना में एक खराब फिल्म है।,ghost rider 2 pahali key tulanaa main ack kharab film hai.
@rootofall3vil @BCCI carful with falling in love with someone,@rootofall3vil @BCCI dekho kahin pyaar na ho jaye,@रूटोफॉल३विल @बीसीसीआई देखो कहीं प्यार ना हो जाए,@rootofall3vil @BCCI किसी के साथ प्यार में पड़ने से परेशान,@rootofall3vil @bcci kissy key saath pyaar main padane say pareshan
"i might go to pierce the veil at northern lights (sold out) in albany ,  new york - 31 october","i might go to pierce the veil at northern lights (sold out) in albany ,  ny - oct 31 http/URL","आई माइट गो तो पियर्स थे वेल एट नॉर्दर्न लाइट्स (सोल्ड आउट) इन अल्बानी ,  नी - ओसीटी ३१ एचटीटीपी/उर्ल","मैं अल्बानी, न्यूयॉर्क में उत्तरी रोशनी (बिक चुकी) में घूंघट छेदने जा सकता हूँ-31 अक्टूबर","main albani, newyork main uttari roshni (beak chuki) main ghoonghat chhedane jaa sakta hoon-31 octuber"
"whom friend, what friend, you are a devil, you only come on eid, to remove everyone's faith","Kiska bhaijan kahan ka Bhai jaan Kutte tu ek nambar shetan,,,, Eed me hi aata he,, kharab karne imman,,,","किसका भाईजान कहन का भाई जान कुत्ते टू एक नंबर शेतान,,,, ईड मे ही आता हे,, खराब करने इमान,,,","किसके दोस्त, किसके दोस्त, आप शैतान हैं, आप केवल ईद पर आते हैं, हर किसी के विश्वास को दूर करने के लिए।","kisake dost, kisake dost, aap shaitan hain, aap kewal eed per aate hain, hear kissy key vishvaas coo door karane key lie."
"relatives to me - son, are you human or #ManmohanSingh? you never speak anything.",Relatives to me - beta insaan ho ya #ManmohanSingh kabhi kuch bolte hi nahi,रिलेटिव्स तो मे - बेटा इंसान हो या #मनमोहनसिंह कभी कुच बोलते ही नही,"मेरे रिश्तेदार-बेटा, क्या तुम इंसान हो या #ManmohanSingh? तुम कभी कुछ नहीं बोलते।","mere rishtedaar-beta, kya tum insaan how yaa #manmohansingh? tum kabhi kuchha nahin bolate."
if i would have been near then i would have ordered myself,nazdeek kahin hota to khud mangwa leta!,नजदीक कहीं होता तो खुद मंगवा लेता!,अगर मैं पास होता तो मैंने खुद ऑर्डर कर लिया होता,agar main paas hota too maine khud order cur lia hota
"""is Sue there?"" - Aamir Khan in Rang de Basanti","""Sue ji hain kya?"" - Aamir Khan in Rang de Basanti","""सुए जी हैं क्या?"" - आमिर खान इन रंग दे बसंती","""क्या सू वहाँ है?""-आमिर खान ने रंग दे बसंती में","""kya sue vahan hai?""-aamir khaan nay rung dei basanti main"
which muslim loves this country @masala_chaas @yogi_adityanath @Support,to muslim kaun ka iss desh se pyaar karte hai @masala_chaas @yogi_adityanath @Support,तो मुस्लिम कौन का आईएस देश से प्यार करते है @मसाला_चास @योगी_आदित्यनाथ @सपोर्ट,कौन सा मुसलमान इस देश से प्यार करता है @masala_chaas @yogi_adityanath @Support,coun sha musalman iss desh say pyaar karta hai @masala_chaas @yogi_adityanath @support
do you want to become like the neighbourer?,Kyu pados wali aunty banna hai?,क्यू पड़ोस वाली आंटी बन्ना है?,क्या आप पड़ोसी की तरह बनना चाहते हैं?,kya aap padosi key tarah banana chahte hain?
"here i am procrastinating at my work desk reading iit bombay confessions ,  as usual. oh wait , didn't even go to iit bombay !  - thank you for your entertainment  !  ","here i am procrastinating at my work desk reading iibt confessions  ,  as usual  .  .  .  oh wait  .  .  .  i didn't even go to iitb  !  - thank you for your entertainment  !  ! ","हेरे आई एएम प्रोक्रास्टिनेटिंग एट माई वर्क डेस्क रीडिंग आईआईबीटी कन्फेशंस  ,  एएस यूजुअल  .  .  .  ओह वैट  .  .  .  आई दिदन'टी इवेन गो तो आईआईटीबी  !  - थैंक यू फोर यूर एंटरटेनमेंट  !  !","यहाँ मैं अपने कार्यस्थल पर हमेशा की तरह आई. आई. टी. बॉम्बे कन्फेशन पढ़ रहा हूँ। ओह रुको, आई. आई. टी. बॉम्बे भी नहीं गया!-आपके मनोरंजन के लिए धन्यवाद!","yahan main apane karyasthal per hamesha key tarah aayi. aayi. tea. bombe confession padh rahaa hoon. oh ruko, aayi. aayi. tea. bombe bhi nahin gaya!-aapke manoranjan key lie dhanyavaad!"
"@nainkatary i like half of the face, of course.","@nainkatary aadhi shakal toh pasand hai mujhe, bilkul.","@नैंकटरी आधी शकल तोह पसंद है मुझे, बिल्कुल।",@nainkatary मुझे बेशक आधा चेहरा पसंद है।,@nainkatary mujhe beshak aadhaa chehra pasand hai.
