hinglish,hinglish_dev,english,english_pred
"She: Baadlon mein chhup raha hai chaand kyu?
He: Dimaag mat kha sone de.
#HeSheStories","शे: बादलों में छुप रहा है चांद क्यू?
हे: दिमाग मत खा सोने दे.
#हेशेस्टोरीज","She: wht is the moon hiding in the clouds?
He: don't irritate me. let me sleep.
#HeSheStories",She: why is the moon hiding in the clouds? hey: don't let your mind sleep. #हेशेस्टोरीज
@KajuBadamChor khatti meethi nahi hai yeh. Hum log kampat bolte the,@काजूबदमचोर खट्टी मीठी नही है येह. हम लोग कम्पट बोलते थे,@KajuBadamChor this isn't sweet or sour. we speak kampat.,@काजूबदमचोर Khatti is not sweet. We used to talk compt
"guddu k pillow b smile kr re ,  guddu ki tarah !  ! ","गुड्डू के पिलो बी स्माइल केआर रे ,  गुड्डू की तरह !  !","Guddu's pillows are smiling, just like guddu! ","Gooddu's pillow and smile, like gooddu!!"
"bichara udhbilao chips laya tha usse bel diya ,  khana lane wale ko kbhi nhi marte :p","बिचारा उधबिलाओ चिप्स लाया था उस्से बेल दिया ,  खाना लाने वाले को कभी नही मारते :प","the poor udhbilao brought us chips and we beat him, don't beat the one who brings food.","Poor kid brought chips, gave him a bell, never hit the person who brought food."
@Rofl_Delhite MI ne bahut chitting kiya hai,@रोफल_डेलहाइट मी ने बहुत चिटिंग किया है,@Rofl_Delhite mi has cheated a lot,@रोफल_डेलहाइट I have done a lot of cheating
"Jaijinendra , 07412-235423 DT 28-2-2016 se band hai Pl chalu karva deve him bahut pareshan hai No "" 9406636779 Thanks #RaviShankarPrasad","जयजिनेन्द्र , ०७४१२-२३५४२३ दत २८-२-२०१६ से बंद है पीएल चालू करवा देवे हिम बहुत परेशन है नो "" ९४०६६३६७७९ थैंक्स #रविशंकरप्रसाद","jaijinendra, 07412-235423 dt is closed from 28-2-2016 please open it , he is very upset no -9406636779 thanks #RaviShankarPrasad ","Jaijinendra, 07412-235423 dat is closed from 28-2-2016 let me turn on the ply, i have a lot of pressure no ""9406636779 thanks #रविशंकरप्रसाद"
i totaly agree with the post  .  .  teachers have no right to spoil students carrer now  .  .  .  .,आई टोटली एग्री विथ थे पोस्ट  .  .  टीचर्स हेव नो राइट तो स्पॉइल स्टूडेंट्स कैरर नौ  .  .  .  ।,i totally agree with the post .teachers have no right to spoil students career now . ,i am totally angry with the post.. teachers have no right to spoil students career now...
@SritikaDhar ye sense nahi bana,@श्रीतिकाधार ये सेंस नही बना,@SritikaDhar this doesn't make sense,@श्रीतिकाधार didn't make sense
".@i_fattimaayyy main toh tumhare pyaar mein gum hogaya hu DP dekh kar, baaki deshwale match dekh rahe hai.",".@आई_फत्तीमाय्य मैं तोह तुम्हारे प्यार में गुम होगया हू डीपी देख कर, बाकी देशवाले मैच देख रहे है।",@i_fattimaayyy  i’m lost in your love after seeing your display picture. other countrymen are watching match.,". @आई_फत्तीमाय्य I am lost in your love, after watching DP, the rest of the country is watching the match."
wide wali eent to sirf deekhane ke liye hoti thi .  .,वाइड वाली ईंट तो सिर्फ दीखने के लिए होती थी .  ।,wide brick is used only for displaying. .,The brick with the width was only for viewing.
@UrbanZameendar Govinda ka humshakal bhi,@उर्बनज़मींदर गोविंदा का हमशकल भी,@UrbanZameendar govinda's doppleganger too.,@उर्बनज़मींदर Govinda's lookalike also
Find this cute puppy a home? yahan khud ke kiraaye ke paise nahi hai.,फाइंड थिस क्यूट पप्पी आ होम? यहां खुद के किराए के पैसे नही है।,Find this cute puppy a home? there is no money for (my/our)  own rent.,find this cute puppy at home? i don't have money for rent.
idiot advertisment shame on .  .,इडियट एडवर्टिजमेंट शेम ओन .  ।,shame on idiot advertisment,idiot advertisement shame on.
"RT @ashutosh83B : Murderous assault on AAP MLA , Kartar Singh Tanwar . Chhatarpur . Driver is injured . Attackers were carrying pistol . Kartar i","आरटी @आशुतोष८३बी : मर्डर असॉल्ट ओन आप मला , करतार सिंह तंवर . छतरपुर . ड्राइवर इस इंजर्ड . अटैकर्स वेरे कैरिंग पिस्तोल . करतार आई","retweet @ashutosh83B : murderous assault on AAP MLA , kartar singh tanwar . chhatarpur . driver is injured . attackers were carrying pistol . Kartar i","RT @आशुतोष83बी: Murder assault on you Mala, Kartar Singh Tanwar. Chhatarpur. Driver is injured. Attackers wear carrying pistols. Kartar came"
#WhereIsRahul is trending No 1 on twitter worldwide . Common Rahul ab toh aa zao . Tumhe 191 mulko ke log dhoondh rahe hain,#व्हेरेइसराहुल इस ट्रेंडिंग नो १ ओन ट्विटर वर्ल्डवाइड . कॉमन राहुल अब तोह आ ज़ाओ . तुम्हे १९१ मुल्को के लोग ढूंढ रहे हैं,"#WhereIsRahul is trending No 1 on twitter worldwide . come on rahul, at least come now. people from 191 regions are looking for you.",#व्हेरेइसराहुल is trending no 1 on twitter worldwide. common rahul now you come. people from 191 countries are looking for you
RT @zoomphatak : Shakira- hello .. Subramanium Swami hai ? Servant- saab Africa gaye hai Shakira- Swami na mila .. e e e .. waka waka .. e e e .. he '''',आरटी @ज़ूमफटक : शकीरा- हेलो .. सुब्रमण्यम स्वामी है ? सर्वेंट- साब अफ्रीका गये है शकीरा- स्वामी ना मिला .. ई ई ई .. वाका वाका .. ई ई ई .. हे '''',retweet @zoomphatak : shakira- hello is subramanium swami there? servant- he went to africa shakira- swami we did not get swami wakka wakka he he,"RT @ज़ूमफटक: Shakira - hello.. is subrahmanyam swami? servant - sir has gone to africa. shakira - swami not found.. ee ee... vaka vaka... ee ee... hee """
"Tu paisa paisa karti hai.. Kyu paise pe tu marti hai
 
 #NitishLaluStingpic.twitter.com/QnJc0Hw4G7","टू पैसा पैसा करती है.. क्यू पैसे पे टू मारती है
 
 #निटिशलालस्टिंगपिक.ट्विटर.कॉम/क्यूएनजेसी०ह्व४जी७","you are keep talking about money, why money matters to you so much?
 
 #NitishLaluSting picture : twitter.com/QnJc0Hw4G7",you make money.. why you kill money. # निटिशलालस्टिंगपिक.ट्विटर.कॉम/क्यूएनजेसी0ह्व4जी7
@RoflGandhi_ unka intezar karna bhi bekar hai bhai!,@रोफलगांधी_ उनका इंतजार करना भी बेकर है भाई!,@RoflGandhi_ waitiing for them is also waste!,@रोफलगांधी_ Waiting for them is also useless!
@LoKarloUnfollow jaane nahi denge tujhe.....,@लोकार्लोउनफोलो जाने नही देंगे तुझे.....,@LoKarloUnfollow We won't let you go.,@लोकार्लोउनफोलो won't let you go...
"Intolerance nahi badha hai, attention paane ki hawas badhi hai.","इंटॉलरेंस नही बढ़ा है, अटेंशन पाने की हवास बढ़ी है।","Intolerance hasn't increased, hunger for attention has increased.","Intolerance has not increased, the desire to get attention has increased."
@Atheist_Krishna woh sab Ooooollluuu k phatte haipic.twitter.com/exQh4VPAen,@एथीस्ट_कृष्ण वोह सब ऊओउल्लू के फट्टे हैपिक.ट्विटर.कॉम/एक्सक४वीपीएन,@Atheist_Krishna they are all fools pic.twitter.com/exQh4VPAen,@एथीस्ट_कृष्ण All of them are the footprints of Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
"@krazyfrog ""khelne ke liye toh sabhi khiladi aate hain, jeetne ke liye ek""","@क्रेजीफ्रॉग ""खेलने के लिए तोह सभी खिलाडी आते हैं, जीतने के लिए एक""","@krazyfrog ""all players come for playing, only one for winning""","@क्रेजीफ्रॉग ""All players come to play, one to win"""
@indiantweeter @Paytm kya kiya inhone ab,@इंडियंटवीटर @पेटीएम क्या किया इन्होने अब,@Indiantweeter @Paytm what did they do now,@इंडियंटवीटर @पेटीएम what did they do now
@clued_up_chic mind ganda hona chahiye.. Saaf to tijori bhi hoti hai ,@क्लूड_उप_चिक माइंड गंदा होना चाहिए.. साफ तो तिजोरी भी होती है,),@क्लूड_उप_चिक mind should be dirty.. there is also a safe.
Item set hui ki nahi?https://twitter.com/UberFacts/status/634780090237341696 …,इतेम सेट हुई की नही?एचटीटीपीएस://ट्विटर.कॉम/अबरफैक्ट्स/स्टेटस/६३४७८००९०२३७३४१६९६ …,did you got that girl? https://twitter.com/UberFacts/status/634780090237341696,is it set yet? https: / / twitter. com / AberFacts / status / 634780090237341696...
u cant blame me.. meri shaadi ho gayee,उ कैंट ब्लेम मे.. मेरी शादी हो गयी,you can’t blame me. i’m already married.,u cant blame me.. i got married
duniya gayi tel lene .  .  apne khaane peene mein busy ,दुनिया गयी टेल लेने .  .  अपने खाने पीने में बसी,),Duniya went to take the tail.. sat down to eat and drink.
Shikhar Dhawan ne bhi 50 run jod diye. Ab bhi nahi jeete to kal tak wapas aa jana.,शिखर धवन ने भी ५० रन जोड़ दिये. अब भी नही जीते तो कल तक वापस आ जाना।,even shikhar dhawan scored a 50 . if you guys still don't win then come back by tomorrow.,"Shikhar Dhawan also added 50 runs. If you don't win even now, come back by tomorrow."
aur phir proof bhi deta.. dekho Mehr ka ration card..,और फिर प्रूफ भी देता.. देखो मेहर का रेशन कार्ड..,"And then I gave proof too, now see my ration card! ",And then he would also give proof. Look at Meher's ration card.
"@The_Lie_Lama As in abhi Tiger baaghi nahi, woh thak gayi hai?","@थे_लिए_लामा एएस इन अभी टाइगर बाघी नही, वोह थक गयी है?","@The_Lie_Lama As in the Tiger has not run away, it is tired?","@थे_लिए_लामा As in now tiger is not a tigress, she is tired?"
Idoit...salman aap muslim hai...Aisa faission show kyon karwaya..allah likkar,इदोइत...सलमान आप मुस्लिम है...एआईएसए फैशन शो क्यों करवाया..अल्ला लिक्कर,"idiot, salman you are a muslim. why do you show this kind of fashion.",idoit.. salman you are muslim.. why did you make a fashion show.. allah likkar
@Champ_Nikk thodi si jo pee li hai,@चैंप_निक्क थोड़ी सी जो पी ली है,@Champ_Nikk i have drunk some liquor.,@चैंप_निक्क A little bit of what I drank
kuch bhi ho sakta hai :),कुच भी हो सकता है :),anything can happen ,It could be anything.:)
Aaj tak ye Bangladeshi uss run out ka badl le raha hai mujhse.https://twitter.com/Realbangladeshi/status/806715786991648770 …,आज तक ये बांग्लादेशी यूएस रन आउट का बदल ले रहा है मुझसे.एचटीटीपीएस://ट्विटर.कॉम/रियलबांग्लादेशी/स्टेटस/८०६७१५७८६९९१६४८७७० …,bangladeshis are still taking revenge fof that run out from me.https://twitter.com/Realbangladeshi/status/806715786991648770 …,till today this bangladeshi is taking revenge of us run out... twitter. com / RealBangladeshi / status / 806715786991648770..
@Indian_Azzurri Bahut maroonga. Rashi bhi,@इंडियन_अज्जुर्री बहुत मरूंगा. राशी भी,@Indian_Azzurri will beat you hard. rashi also,@इंडियन_अज्जुर्री I will die a lot. Rashi also
"Doosro ka maar ke bana thaa, doosro ka maarne ke chakkar me phasa....","दूसरों का मार के बना था, दूसरों का मारने के चक्कर मे फसा....","got the name by beating others, got trapped because of others'","He was made to kill others, he was trapped in the cycle of killing others..."
@raviishndtv or modiji ye kaam acche se kr lete h ...,@रविष्णदत्व ओर मोदीजी ये काम अच्छे से केआर लेते ह ...,@raviishndtv or modiji do this type of work better ...,@रविष्णदत्व and modiji take care of this work well..
"first 24 hours in london got given a free rail card ,saw 3 squirrels going to work ,may have found a home &amp; there's big alan rickman posters","फर्स्ट २४ हॉर्स इन लंडन गोट गिवेन आ फ्री रेल कार्ड ,साव ३ स्क्विरल्स गोइंग तो वर्क ,मे हेव फाउंड आ होम &एएमपी; थेरे'एस बिग अलान रिकमैन पोस्टर्स","first 24 hours in london: was given a free rail card, saw 3 squirrels going to work ,may have found a home and there's big alan rickman posters","first 24 hours in london got given a free rail card, saw 3 squirrels going to work, may have found a home & amp; there's big alan rickman posters"
"pehle kuch banke dikhavo bacchon "" Kashmir issue tho tumhare bina bhi solve ho jayega #DU #JNU #antinationals #AzadiBrigade","पहले कुच बांके दिखावो बच्चों "" कश्मीर इश्यू थो तुम्हारे बिना भी सॉल्व हो जाएगा #डू #जेएनयू #एंटीनेशनल्स #अजाडिब्रिगेड",first become something children Kashmir issue can also be solved without you #DU #JNU #antinationals #AzadiBrigade,"Show me something else first, kids. ""kashmir issue will be solved even without you #डू #जेएनयू #एंटीनेशनल्स #अजाडिब्रिगेड"
Hmare bina tera koi wajood nhi #salman ...sale pathano k nam p kalank h tu,हमारे बिना तेरा कोई वजूद नही #सलमान ...साले पठानों के नाम प कलंक ह टू,you are nothing without us #salman.. you are a blur in the name of pathan,Without us you have no existence #सलमान... there is a blot on the name of our Pathans.
""" @sonalSalmanK : SA this time India didn't waste opportunity . Chauka bhi laga aur mauka bhi le kiya #IndvsSA """,""" @सोनलसलमांक : सा थिस टाइम इंडिया दिदन'टी वास्ते अपॉर्च्युनिटी . चौका भी लगा और मौका भी ले किया #इंडवासा ""","@SonalSalamanandak: sa this time india for the day. opportunity. it took a chowk and took the opportunity #indwassa""","""@सोनलसलमांक: Sa This Time India Didn't have the opportunity. I also took the chance. #इंडवासा"""
"@Humor_Donor nahin yaar, aise kaise? :D","@ह्यूमर_डोनर नहीं यार, एआईएसई कैसे? :डी","@Humor_Donor no friend, how come?","@ह्यूमर_डोनर No dude, how is this?: D"
ghost rider 2's a bad movie compared to the 1st .,घोस्ट राइडर २'एस आ बाद मूवी कंपेयर्ड तो थे १एसटी ।,ghost rider 2's a bad movie compared to the 1st .,Ghost Rider 2's after movie compared to the 1st.
@rootofall3vil @BCCI dekho kahin pyaar na ho jaye,@रूटोफॉल३विल @बीसीसीआई देखो कहीं प्यार ना हो जाए,@rootofall3vil @BCCI carful with falling in love with someone,@रूटोफॉल3विल @बीसीसीआई See where there is no love.
"i might go to pierce the veil at northern lights (sold out) in albany ,  ny - oct 31 http/URL","आई माइट गो तो पियर्स थे वेल एट नॉर्दर्न लाइट्स (सोल्ड आउट) इन अल्बानी ,  नी - ओसीटी ३१ एचटीटीपी/उर्ल","i might go to pierce the veil at northern lights (sold out) in albany ,  new york - 31 october","i might go to pierce the well at northern lights (sold out) in albany, ne - occity 31 http / URL"
"Kiska bhaijan kahan ka Bhai jaan Kutte tu ek nambar shetan,,,, Eed me hi aata he,, kharab karne imman,,,","किसका भाईजान कहन का भाई जान कुत्ते टू एक नंबर शेतान,,,, ईड मे ही आता हे,, खराब करने इमान,,,","whom friend, what friend, you are a devil, you only come on eid, to remove everyone's faith","whose brother is khan's brother is kutte to ek number shaitaan,,,,,, eid mein hi,,,,,,,,,,,,,"
Relatives to me - beta insaan ho ya #ManmohanSingh kabhi kuch bolte hi nahi,रिलेटिव्स तो मे - बेटा इंसान हो या #मनमोहनसिंह कभी कुच बोलते ही नही,"relatives to me - son, are you human or #ManmohanSingh? you never speak anything.",relatives to me - son be human or #मनमोहनसिंह never speak anything
nazdeek kahin hota to khud mangwa leta!,नजदीक कहीं होता तो खुद मंगवा लेता!,if i would have been near then i would have ordered myself,"If I were anywhere near, I would have ordered it myself!"
"""Sue ji hain kya?"" - Aamir Khan in Rang de Basanti","""सुए जी हैं क्या?"" - आमिर खान इन रंग दे बसंती","""is Sue there?"" - Aamir Khan in Rang de Basanti","""Are you alive?"" - Aamir Khan in Rang De Basanti"
to muslim kaun ka iss desh se pyaar karte hai @masala_chaas @yogi_adityanath @Support,तो मुस्लिम कौन का आईएस देश से प्यार करते है @मसाला_चास @योगी_आदित्यनाथ @सपोर्ट,which muslim loves this country @masala_chaas @yogi_adityanath @Support,so which muslims love this country @मसाला_चास @योगी_आदित्यनाथ @सपोर्ट
Kyu pados wali aunty banna hai?,क्यू पड़ोस वाली आंटी बन्ना है?,do you want to become like the neighbourer?,Why are you being a neighbour?
"here i am procrastinating at my work desk reading iibt confessions  ,  as usual  .  .  .  oh wait  .  .  .  i didn't even go to iitb  !  - thank you for your entertainment  !  ! ","हेरे आई एएम प्रोक्रास्टिनेटिंग एट माई वर्क डेस्क रीडिंग आईआईबीटी कन्फेशंस  ,  एएस यूजुअल  .  .  .  ओह वैट  .  .  .  आई दिदन'टी इवेन गो तो आईआईटीबी  !  - थैंक यू फोर यूर एंटरटेनमेंट  !  !","here i am procrastinating at my work desk reading iit bombay confessions ,  as usual. oh wait , didn't even go to iit bombay !  - thank you for your entertainment  !  ","Here I am procrastinating at my work desk reading iibt confessions, as usual.. oh what... i didn't even go to iitb! - thank you for your entertainment!!"
"@nainkatary aadhi shakal toh pasand hai mujhe, bilkul.","@नैंकटरी आधी शकल तोह पसंद है मुझे, बिल्कुल।","@nainkatary i like half of the face, of course.","@नैंकटरी I like you half the size, of course."
"Tujh mein rab dikhta hai, yaara main kya karoonpic.twitter.com/sTI3w1I7Ry","तुझ में रब दिखता है, यारा मैं क्या करूनपिक.ट्विटर.कॉम/स्टी३डब्लू१आई७राय","i can see god in you, what should I do! pic.twitter.com/sTI3w1I7Ry","I see the Lord in you, what do I do करूनपिक.ट्विटर.कॉम/स्टी3डब्लू1आई7राय"
@ARangarajan1972 Sir Mohit Sharma keliye woh cute Bird .. ko Nikalke .. kuch aur daalna padega ... He us ON FIRE ðŸ’•ðŸ‘ðŸ‘ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ˜‚ðŸ˜‚ðŸ˜‚,@अरंगराजन१९७२ सिर मोहित शर्मा केलिए वोह क्यूट बर्ड .. को निकलके .. कुच और डालना पड़ेगा ... हे यूएस ओन फायर ðÿ’•ðÿ‘ðÿ‘ðÿ‘œðÿ‘œðÿ‘œðÿ˜‚ðÿ˜‚ðÿ˜‚,@ARangarajan1972 sir we need to remove that cute bird and put something else for rohit sharma. he's on fire.,"@अरंगराजन1972 For Sir Mohit Sharma, that cute bird.. has to come out... we have to put something else... hey us on fire"
"@Ra_Bies Subbah 5 baje tak pi, bahot pi. Kitni pi yaad nahi aa raha. HAr ek body part mein dard hai, jaise dil mein","@रा_बाइस सुब्बा ५ बजे तक पी, बहोत पी. कितनी पी याद नही आ रहा. हर एक बॉडी पार्ट में दर्द है, जैसे दिल में","@Ra_Bies Subbah i drank till 5 in the morning, i drank a lot. evry body part is hurting now, like my heart","@रा_बाइस Subba drink till 5 o'clock, drink a lot. I can't remember how much. There is pain in every body part, like in the heart."
#movienight tomorrow at the student union @ 8pm the movie will be safe house ! #teamuapb,#मूवीनाइट टॉमोरो एट थे स्टूडेंट यूनियन @ ८पीम थे मूवी विल बे सेफ हाउस ! #टीमुअप्ब,#movienight tomorrow at the student union. @ 8pm the movie will be safe house ! #teamuapb,#मूवीनाइट Tomorrow at the Student Union @ 8PM the movie will be safe house! #टीमुअप्ब
@BeSharmaji isiliye maine bike khareedi,@बेशरमाजी इसीलिए मैने बाइक खरीदी,@BeSharmaji i bought bike for this reason,@बेशरमाजी That's why I bought the bike
Saif Ali Khan is trending. Is Kareena Kapoor pregnant?,सैफ अली खान इस ट्रेंडिंग. इस करीना कपूर प्रेग्नेंट?,Saif Ali Khan is trending. Is Kareena Kapoor pregnant?,Saif Ali Khan is trending. is Kareena Kapoor pregnant?
Musibat aur tatti kabhi bhi aa sakti hai.. https://twitter.com/Champ_Nikk/status/789160393365159936 …,मुसीबत और टट्टी कभी भी आ सकती है.. एचटीटीपीएस://ट्विटर.कॉम/चैंप_निक्क/स्टेटस/७८९१६०३९३३६५१५९९३६ …,problems and potty can come at anytime. https://twitter.com/Champ_Nikk/status/789160393365159936 …,Trouble and trouble can come anytime. https: / / twitter. com / Champ _ Nick / status / 789160393365159936...
@miss_cherished Car drive karte hure phone pe baat karne ka @PAYBACKIndia #PointKyaHai Point Kya Hai,@मिस_चेरिश्ड कार ड्राइव करते हुरे फोन पे बात करने का @पेबैकइंडिया #पॉइंटक्याहै पॉइंट क्या है,@miss_cherished what's the point of talking in phone while driving car @PAYBACKIndia #PointKyaHai,@मिस_चेरिश्ड what is the point of talking on the phone while driving a car
Bhaiii ...greatttt<3<3<3 amazinggg wonderfullll,भाई ...ग्रेटट<३<३<३ अमेजिंग वंडरफुल,"Brother great, amazing wonderfull",brother.. great < 3 < 3 amazing wonderful
"guddu world cup khatam na ho jaye tab tak tu bahar mat jana ....,","गुड्डू वर्ल्ड कप खतम ना हो जाए तब तक टू बाहर मत जाना ....,","don't go outside guddu, untilthe world cup is over",guddu don't go out till the world cup is over
"Maid of @MasalaBai: Memsaab.. Khane me kya banau..

MasalaBai: Sahab se pooch lo.. Mein to subah se Twitter pe gaaliya kha rahi hu..","मैद ओएफ @मसालाबाई: मेमसाब.. खाने मे क्या बनाऊ..

मसालाबाई: साहब से पूछ लो.. में तो सुबह से ट्विटर पे गालिया खा रही हू..","Maid of @MasalaBai: ma'am, what food should i cook?

MasalaBai: ask your master.. i've been eating abuses on twitter since morning",Maid of @मसालाबाई: Memsaab.. what to make for food. Masala Bai: ask sir... i have been abusing on twitter since morning..
@fussytharoor @LeftArmOver_ Arey sirji bhi Calcutta ke hain. Inko bhi ilm hoga.,@फुस्सीथरूर @लेफ्टारमूवर_ अरे सिरजी भी कलकत्ता के हैं. इनको भी इल्म होगा।,"@fussytharoor @LeftArmOver_ Hey, Sir is also from Calcutta. He also maybe having knowledge.",@फुस्सीथरूर @लेफ्टारमूवर_ Sirji is also from Calcutta. He will also have knowledge.
"Chalni karde seena..
Ek aur galti karde Carolina..","चलनी करदे सीना..
एक और गलती करदे कैरोलिना..","give  unbearable pain.
commit one more mistake, carolina",let's do it.. another mistake karolina..
"a great read with your saturday morning coffee .i'm voting for a pres working on social justice ,tolerance ,&amp; equality .http/URL","आ ग्रेट रीड विथ यूर सतुर्दय मॉर्निंग कॉफी .आई'एम वोटिंग फोर आ प्रेस वर्किंग ओन सोशल जस्टिस ,टॉलरेंस ,&एएमपी; इक्वालिटी .एचटीटीपी/उर्ल","a great read with your saturday morning coffee .i'm voting for a pres working on social justice ,tolerance; equality .http/URL","a great read with your saturdaya morning coffee. i'm voting for a press working on social justice, tolerance, & amp; equality. http / URL"
"jumme ka din hai, chatting ki baat hai. allah bachaye mujhe, fake pages se.","जुम्मे का दिन है, चैटिंग की बात है. अल्ला बचाए मुझे, फेक पेज से।",it is about chatting on jumma's day. may allah save me from these fake pages.,"It's jumme's day, it's about chatting. Allah save me, from fake pages."
@someUSER i'm in hawaii at the moment .  home next friday night .  don't want to come home .,@सोम्यूजर आई'एम इन हवाई एट थे मोमेंट .  होम नेक्स्ट फ्राइडे नाइट .  दोन'टी वांट तो कोम होम ।,@some user Don't want to come home next friday because I am in the Hawai at the moment  ,@सोम्यूजर I'm in Hawaii at the moment. home next friday night. don't want to come home.
@Atheist_Krishna @HathwalaThakur ho sakta hai!,@एथीस्ट_कृष्ण @हथवालाठाकुर हो सकता है!,@Atheist_Krishna @HathwalaThakur it can be done!,@एथीस्ट_कृष्ण @हथवालाठाकुर could be!
Live aane ke liye switch to #JIO services !!!,लाइव आने के लिए स्विच तो #जियो सर्विस !!!,"to go live, switch to #JIO services",switch to #जियो service to come live!!
tv naseeb m nhi h .  .  .  .  mobile se chipke h,टीवी नसीब एम नही ह .  .  .  .  मोबाइल से चिपके ह,"by watching mobile phone a lot, i am not fortunate to see TV",tv is not available... it is glued to the mobile.
friday nite after the dwc reading raided sound garden .  .  . 3 dvds &amp,फ्राइडे नाइट आफ्टर थे डब्ल्यूसी रीडिंग रेडेड साउंड गार्डन .  .  . ३ डीवीडी &एएमपी, a cd 4 $20 !  cruising home 2 raphael sadiq .  friday note in cny .,Friday night after the wc reading raided sound garden.. 3 dvds & amp
cricket ground me ek jagah sabke sweater pade hote the ...,क्रिकेट ग्राउंड मे एक जगह सबके स्वेटर पड़े होते थे ...,everyone's sweaters used to be in one place in the cricket groud,"At one place in the cricket ground, everyone had sweaters.."
